Label;Part Type;mn;mpn;part number;
LED1;LEDs;;;;
Part1;Arduino Mega 2560 (Rev3);;;;
R1;100Ω Resistor;;;;
R2;100Ω Resistor;;;;
S1;Pushbutton;;;;

Amount;Part Type;mn;mpn;part number;
2;100Ω Resistor;;;;
1;Arduino Mega 2560 (Rev3);;;;
1;LEDs;;;;
1;Pushbutton;;;;
